Date,Topic,Slides,"Example Code",Reading,Assignment
Aug 31,"Course overview",lectures/lecture01-public.pdf,,*CSAPP* 1.1–1.9,
Sep 2,"Data representation, addresses",lectures/lecture02-public.pdf,,*CSAPP* 2.1,
Sep 4,"Integer representation",lectures/lecture03-public.pdf,,*CSAPP* 2.2,
Sep 7,"*Labor day, no class*"
Sep 9,"Integer arithmetic",lectures/lecture04-public.pdf,,*CSAPP* 2.3,"[A1](assign/assign01.html) MS1 due"
Sep 11,"Floating point",lectures/lecture05-public.pdf,,*CSAPP* 2.4,
Sep 14,"Machine-level program representation",lectures/lecture06-public.pdf,addLongs.zip,*CSAPP* 3.1–3.4,
Sep 16,"ALU operations, arithmetic",lectures/lecture07-public.pdf,alu.zip,*CSAPP* 3.5,"[A1](assign/assign01.html) MS2 due"
Sep 18,"Control flow",lectures/lecture08-public.pdf,control.zip,*CSAPP* 3.6,
Sep 21,"Procedures, stacks",lectures/lecture09-public.pdf,control2.zip,*CSAPP* 3.7,
Sep 23,"Arrays and structs",lectures/lecture10-public.pdf,arraystruct.zip,*CSAPP* 3.8–3.9,
Sep 25,"Assembly language in class exercise",,,,"<span class='tentative'>A2 MS1 due</span>"
Sep 28,"Code and data interactions, buffer overflows",lectures/lecture11-public.pdf,buf.zip,*CSAPP* 3.10,
Sep 30,"Program optimization (basic techniques): see Canvas for slides",,,*CSAPP* 5.1–5.8,
Oct 2,"Pipelines",lectures/lecture13-public.pdf,,"<i>P&amp;H</i> 4.5–4.7","<span class='tentative'>A2 MS2 due</span>"
Oct 5,"Program optimization (ILP, memory, profiling): see Canvas for slides",,,*CSAPP* 5.9–5.14,
Oct 7,"Memory hierarchy",lectures/lecture15-public.pdf,,*CSAPP* 6.1–6.3,
Oct 9,"Exam 1 review session",,,,"<span class='tentative'>A2 MS3 due</span>"
Oct 12,"**Exam 1** (in class)",
Oct 14,"Cache policies",lectures/lecture16-public.pdf,,*CSAPP* 6.4,
Oct 16,"Caches and program execution: see Canvas for slides",,,*CSAPP* 6.5,"<span class='tentative'>A3 MS1 due</span>"
Oct 19,"Linking basics, symbols, relocations, executables, loading",lectures/lecture18-public.pdf,,*CSAPP* 7.1–7.9,
Oct 21,"Dynamic linking, shared libraries, PIC, interpositioning",lectures/lecture19-public.pdf,dynload.zip,*CSAPP* 7.10–7.15,
Oct 22–23,"*WSE Fall Break, no class*"
Oct 26,"Exceptions, Processes",lectures/lecture20-public.pdf,,"*CSAPP* 8.1–8.4, 8.7",
Oct 28,"Signals",lectures/lecture21-public.pdf,signals.zip,*CSAPP* 8.5–8.6,
Oct 30,"Virtual memory",lectures/lecture22-public.pdf,,*CSAPP* 9.1–9.3,"<span class='tentative'>A3 MS2 due</span>"
Nov 2,"Memory management, address translation",lectures/lecture23-public.pdf,,*CSAPP* 9.4–9.7,
Nov 4,"Memory mapping, dynamic memory allocation",lectures/lecture24-public.pdf,,"*CSAPP* 9.8, 9.9, 9.11",
Nov 6,"Exam 2 review session",,,,"<span class='tentative'>A3 MS3 due</span>"
Nov 9,"**Exam 2** (in class)",
Nov 11,"Unix I/O, files",lectures/lecture25-public.pdf,,*CSAPP* 10.1–10.11,
Nov 13,"Networks, Internet Protocol",lectures/lecture26-public.pdf,,*CSAPP* 11.1–11.3,
Nov 16,"Sockets, Application Protocols",lectures/lecture27-public.pdf,sockets.zip,*CSAPP* 11.4,"<span class='tentative'>A4 due</span>"
Nov 18,"Network applications, HTTP",lectures/lecture28-public.pdf,"[webclient.zip (example code)](lectures/webclient.zip), [webserver.zip (example code)](lectures/webserver.zip)",*CSAPP* 11.4–11.6,
Nov 20,"Concurrency with pthreads",lectures/lecture29-public.pdf,mt_webserver.zip,*CSAPP* 12.3,
Nov 23–27,"*Fall Recess, no class*"
Nov 30,"Thread synchronization",lectures/lecture30-public.pdf,synch.zip,*CSAPP* 12.4–12.5,"<span class='tentative'>A5 MS1 due</span>"
Dec 2,"Parallelism, concurrency issues",lectures/lecture31-public.pdf,synch2.zip,*CSAPP* 12.6–12.7,
Dec 4,"Concurrency with processes",lectures/lecture32-public.pdf,mp_webserver.zip,*CSAPP* 12.1,
Dec 7,"Concurrency with I/O multiplexing",lectures/lecture33-public.pdf,iomux.zip,*CSAPP* 12.2,
Dec 9,Bonus Topics
Dec 11,"Exam 3 review session",,,,"<span class='tentative'>A5 MS2 due</span>"
Dec 18,"**Exam 3**, 9 am, Location TBD"
